,MSE,RMSE,MAE,R2,QLIKE,LL_t_OOS,Delta_MSE,MCS_90,DEGENERATE
Panel A,,,,,,,,,
ARCH(1),947.68212,30.78445,23.06189,-0.2357,3.70269,-2.6910,+19.91\%,No,DEGENERATE
"GARCH(1,1)",790.35851,28.11332,16.83860,-0.0305,3.50586,-2.6133,—,Yes,ok
"EGARCH(1,1)",785.88237,28.03359,16.90163,-0.0247,3.51932,-2.6179,-0.57\%,Yes,ok
"GJR-GARCH(1,1)",790.26054,28.11157,16.71085,-0.0304,3.50849,-2.6138,-0.01\%,Yes,ok
"FIGARCH(1,d,1)",\textbf{758.47825},\textbf{27.54048},\textbf{15.45276},\textbf{0.0110},\textbf{3.47468},\textbf{-2.6010},-4.03\%,Yes,ok
HAR,772.91098,27.80128,17.77215,-0.0078,3.54068,-2.6298,-2.21\%,Yes,ok
Panel B,,,,,,,,,
Panel C,,,,,,,,,
LSTM-SSE-t-Student,774.73053 ± 12.05844,27.83398,15.87011 ± 0.38029,-0.0102,3.54347,-2.6228,-1.98\%,Yes,ok
Panel D,,,,,,,,,
Constant (unconditional variance),852.79585,29.20267,20.50793,-0.1119,3.65191,-2.6712,+7.90\%,No,—
