,MSE,RMSE,MAE,R2,QLIKE,LL_t_OOS,Delta_MSE,MCS_90,DEGENERATE
Panel A,,,,,,,,,
ARCH(1),868.56747,29.47147,11.67639,-0.0612,3.37404,-2.4389,+14.80\%,No,DEGENERATE
"GARCH(1,1)",\textbf{756.57655},\textbf{27.50594},11.18035,\textbf{0.0756},2.95819,-2.3686,—,Yes,ok
"EGARCH(1,1)",759.73107,27.56322,10.75214,0.0718,2.99178,-2.3726,+0.42\%,Yes,ok
"GJR-GARCH(1,1)",801.57229,28.31205,11.49555,0.0207,3.11456,-2.3946,+5.95\%,No,ok
"FIGARCH(1,d,1)",770.20491,27.75257,12.15618,0.0590,\textbf{2.95345},\textbf{-2.3683},+1.80\%,Yes,ok
HAR,771.80195,27.78132,11.50295,0.0570,2.97175,-2.3705,+2.01\%,Yes,ok
Panel B,,,,,,,,,
Panel C,,,,,,,,,
LSTM-SSE-t-Student,847.79126 ± 15.42319,29.11686,\textbf{9.88789 ± 0.10520},-0.0358,3.73831,-2.5040,+12.06\%,No,DEGENERATE
Panel D,,,,,,,,,
Constant (unconditional variance),820.46688,28.64379,11.96965,-0.0024,3.34013,-2.4645,+8.44\%,No,—
